tutor,country,availability,tutor_category,school_level,school_year,school_type,course_name
22,nl,FALSE,3,Vwo,2,Middelbare school,Rekenen
36,nl,FALSE,2,Vmbo,3,Middelbare school,Biologie
36,nl,FALSE,2,Havo,3,Middelbare school,Biologie
36,nl,FALSE,2,Vmbo,1,Middelbare school,Biologie
36,nl,FALSE,2,Vmbo,2,Middelbare school,Biologie
36,nl,FALSE,2,Havo,1,Middelbare school,Biologie
36,nl,FALSE,2,Havo,4,Middelbare school,Biologie
36,nl,FALSE,2,Vmbo,4,Middelbare school,Biologie
36,nl,FALSE,2,Havo,5,Middelbare school,Biologie
36,nl,FALSE,2,Havo,2,Middelbare school,Biologie
36,nl,FALSE,2,Vmbo,2,Middelbare school,Natuurkunde
36,nl,FALSE,2,Havo,1,Middelbare school,Natuurkunde
36,nl,FALSE,2,Vwo,1,Middelbare school,Natuurkunde
36,nl,FALSE,2,Vwo,5,Middelbare school,Natuurkunde
36,nl,FALSE,2,Vwo,3,Middelbare school,Natuurkunde
36,nl,FALSE,2,Vwo,6,Middelbare school,Natuurkunde
36,nl,FALSE,2,Havo,2,Middelbare school,Natuurkunde
36,nl,FALSE,2,Vmbo,4,Middelbare school,Natuurkunde
36,nl,FALSE,2,Havo,5,Middelbare school,Natuurkunde
36,nl,FALSE,2,Havo,3,Middelbare school,Natuurkunde
36,nl,FALSE,2,Vwo,2,Middelbare school,Natuurkunde
36,nl,FALSE,2,Vwo,4,Middelbare school,Natuurkunde
36,nl,FALSE,2,Vmbo,3,Middelbare school,Natuurkunde
36,nl,FALSE,2,Havo,4,Middelbare school,Natuurkunde
36,nl,FALSE,2,Vmbo,1,Middelbare school,Natuurkunde
36,nl,FALSE,2,Vmbo,1,Middelbare school,Scheikunde
36,nl,FALSE,2,Vwo,6,Middelbare school,Scheikunde
36,nl,FALSE,2,Havo,5,Middelbare school,Scheikunde
36,nl,FALSE,2,Vmbo,3,Middelbare school,Scheikunde
36,nl,FALSE,2,Havo,2,Middelbare school,Scheikunde
36,nl,FALSE,2,Havo,3,Middelbare school,Scheikunde
36,nl,FALSE,2,Havo,1,Middelbare school,Scheikunde
36,nl,FALSE,2,Havo,4,Middelbare school,Scheikunde
36,nl,FALSE,2,Vwo,4,Middelbare school,Scheikunde
36,nl,FALSE,2,Vwo,2,Middelbare school,Scheikunde
36,nl,FALSE,2,Vwo,3,Middelbare school,Scheikunde
36,nl,FALSE,2,Vmbo,4,Middelbare school,Scheikunde
36,nl,FALSE,2,Vwo,1,Middelbare school,Scheikunde
36,nl,FALSE,2,Vwo,5,Middelbare school,Scheikunde
36,nl,FALSE,2,Vmbo,2,Middelbare school,Scheikunde
36,nl,FALSE,2,Havo,4,Middelbare school,Wiskunde B
36,nl,FALSE,2,Havo,5,Middelbare school,Wiskunde B
36,nl,FALSE,2,Vwo,5,Middelbare school,Wiskunde B
36,nl,FALSE,2,Vwo,4,Middelbare school,Wiskunde B
36,nl,FALSE,2,Vwo,6,Middelbare school,Wiskunde B
36,nl,FALSE,2,Vmbo,4,Middelbare school,Wiskunde onderbouw
36,nl,FALSE,2,Vmbo,1,Middelbare school,Wiskunde onderbouw
36,nl,FALSE,2,Vwo,1,Middelbare school,Wiskunde onderbouw
36,nl,FALSE,2,Havo,2,Middelbare school,Wiskunde onderbouw
36,nl,FALSE,2,Havo,3,Middelbare school,Wiskunde onderbouw
36,nl,FALSE,2,Vwo,3,Middelbare school,Wiskunde onderbouw
36,nl,FALSE,2,Vwo,2,Middelbare school,Wiskunde onderbouw
36,nl,FALSE,2,Havo,1,Middelbare school,Wiskunde onderbouw
36,nl,FALSE,2,Vmbo,3,Middelbare school,Wiskunde onderbouw
36,nl,FALSE,2,Vmbo,2,Middelbare school,Wiskunde onderbouw
557,nl,TRUE,3,Vmbo,1,Middelbare school,Biologie
557,nl,TRUE,3,Vmbo,4,Middelbare school,Biologie
557,nl,TRUE,3,Vmbo,2,Middelbare school,Biologie
557,nl,TRUE,3,Havo,2,Middelbare school,Biologie
557,nl,TRUE,3,Havo,4,Middelbare school,Biologie
557,nl,TRUE,3,Havo,3,Middelbare school,Biologie
557,nl,TRUE,3,Havo,1,Middelbare school,Biologie
557,nl,TRUE,3,Vmbo,3,Middelbare school,Biologie
557,nl,TRUE,3,Vwo,4,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Havo,4,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Havo,2,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Vmbo,3,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Vmbo,1,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Vwo,3,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Havo,5,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Vwo,1,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Vmbo,2,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Havo,3,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Vmbo,4,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Vwo,2,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Havo,1,Middelbare school,Maatschappijleer
557,nl,TRUE,3,Vmbo,3,Middelbare school,Nask
557,nl,TRUE,3,Vmbo,2,Middelbare school,Nask
557,nl,TRUE,3,Vmbo,4,Middelbare school,Nask
557,nl,TRUE,3,Vmbo,1,Middelbare school,Nask
557,nl,TRUE,3,Vmbo,4,Middelbare school,Nederlands
557,nl,TRUE,3,Havo,2,Middelbare school,Nederlands
557,nl,TRUE,3,Havo,4,Middelbare school,Nederlands
557,nl,TRUE,3,Vmbo,2,Middelbare school,Nederlands
557,nl,TRUE,3,Havo,3,Middelbare school,Nederlands
557,nl,TRUE,3,Havo,5,Middelbare school,Nederlands
557,nl,TRUE,3,Vmbo,1,Middelbare school,Nederlands
557,nl,TRUE,3,Havo,1,Middelbare school,Nederlands
557,nl,TRUE,3,Groep 1 t/m 8,,Basisschool,Nederlands
557,nl,TRUE,3,Vmbo,3,Middelbare school,Nederlands
557,nl,TRUE,3,Vmbo,4,Middelbare school,Rekenen
557,nl,TRUE,3,Havo,4,Middelbare school,Rekenen
557,nl,TRUE,3,Vwo,1,Middelbare school,Rekenen
557,nl,TRUE,3,Havo,1,Middelbare school,Rekenen
557,nl,TRUE,3,Vwo,3,Middelbare school,Rekenen
557,nl,TRUE,3,Vmbo,2,Middelbare school,Rekenen
557,nl,TRUE,3,Havo,3,Middelbare school,Rekenen
557,nl,TRUE,3,Vmbo,1,Middelbare school,Rekenen
557,nl,TRUE,3,Havo,5,Middelbare school,Rekenen
557,nl,TRUE,3,Vwo,2,Middelbare school,Rekenen
557,nl,TRUE,3,Vmbo,3,Middelbare school,Rekenen
557,nl,TRUE,3,Groep 1 t/m 8,,Basisschool,Rekenen
557,nl,TRUE,3,Havo,2,Middelbare school,Rekenen
557,nl,TRUE,3,Vwo,2,Middelbare school,Scheikunde
557,nl,TRUE,3,Vmbo,2,Middelbare school,Scheikunde
557,nl,TRUE,3,Havo,1,Middelbare school,Scheikunde
557,nl,TRUE,3,Vmbo,3,Middelbare school,Scheikunde
557,nl,TRUE,3,Havo,2,Middelbare school,Scheikunde
557,nl,TRUE,3,Vmbo,4,Middelbare school,Scheikunde
557,nl,TRUE,3,Havo,4,Middelbare school,Scheikunde
557,nl,TRUE,3,Vmbo,1,Middelbare school,Scheikunde
557,nl,TRUE,3,Havo,5,Middelbare school,Scheikunde
557,nl,TRUE,3,Havo,3,Middelbare school,Scheikunde
557,nl,TRUE,3,Vwo,1,Middelbare school,Scheikunde
557,nl,TRUE,3,Vwo,3,Middelbare school,Scheikunde
557,nl,TRUE,3,Havo,4,Middelbare school,Wiskunde A/C
557,nl,TRUE,3,Havo,5,Middelbare school,Wiskunde A/C
692,nl,TRUE,3,Vmbo,4,Middelbare school,Frans
692,nl,TRUE,3,Havo,2,Middelbare school,Frans
692,nl,TRUE,3,Vmbo,3,Middelbare school,Frans
692,nl,TRUE,3,Vmbo,2,Middelbare school,Frans
692,nl,TRUE,3,Vmbo,1,Middelbare school,Frans
692,nl,TRUE,3,Havo,3,Middelbare school,Frans
692,nl,TRUE,3,Havo,1,Middelbare school,Frans
724,nl,FALSE,2,Havo,5,Middelbare school,Engels
724,nl,FALSE,2,Vwo,6,Middelbare school,Engels
724,nl,FALSE,2,Havo,4,Middelbare school,Engels
724,nl,FALSE,2,Havo,3,Middelbare school,Engels
724,nl,FALSE,2,Vwo,5,Middelbare school,Engels
724,nl,FALSE,2,Groep 1 t/m 8,,Basisschool,Engels
724,nl,FALSE,2,Vmbo,3,Middelbare school,Engels
724,nl,FALSE,2,Vmbo,4,Middelbare school,Engels
724,nl,FALSE,2,Havo,3,Middelbare school,Nask
724,nl,FALSE,2,Havo,3,Middelbare school,Natuurkunde
724,nl,FALSE,2,Havo,5,Middelbare school,Natuurkunde
724,nl,FALSE,2,Vwo,5,Middelbare school,Natuurkunde
724,nl,FALSE,2,Havo,4,Middelbare school,Natuurkunde
724,nl,FALSE,2,Vwo,6,Middelbare school,Natuurkunde
724,nl,FALSE,2,Vwo,4,Middelbare school,Natuurkunde
724,nl,FALSE,2,Vwo,5,Middelbare school,Nederlands
724,nl,FALSE,2,Vwo,4,Middelbare school,Nederlands
724,nl,FALSE,2,Groep 1 t/m 8,,Basisschool,Nederlands
724,nl,FALSE,2,Vwo,3,Middelbare school,Nederlands
724,nl,FALSE,2,Vwo,6,Middelbare school,Nederlands
724,nl,FALSE,2,Groep 1 t/m 8,,Basisschool,Rekenen
724,nl,FALSE,2,Vwo,6,Middelbare school,Wiskunde B
724,nl,FALSE,2,Havo,4,Middelbare school,Wiskunde B
724,nl,FALSE,2,Vwo,5,Middelbare school,Wiskunde B
724,nl,FALSE,2,Havo,5,Middelbare school,Wiskunde B
792,nl,FALSE,2,Vwo,4,Middelbare school,Biologie
792,nl,FALSE,2,Vmbo,4,Middelbare school,Biologie
792,nl,FALSE,2,Vwo,3,Middelbare school,Biologie
792,nl,FALSE,2,Vmbo,2,Middelbare school,Biologie
792,nl,FALSE,2,Vwo,1,Middelbare school,Biologie
792,nl,FALSE,2,Vmbo,1,Middelbare school,Biologie
792,nl,FALSE,2,Vwo,6,Middelbare school,Biologie
792,nl,FALSE,2,Havo,1,Middelbare school,Biologie
792,nl,FALSE,2,Vwo,5,Middelbare school,Biologie
792,nl,FALSE,2,Vwo,2,Middelbare school,Biologie
792,nl,FALSE,2,Havo,5,Middelbare school,Biologie
792,nl,FALSE,2,Havo,4,Middelbare school,Biologie
792,nl,FALSE,2,Havo,3,Middelbare school,Biologie
792,nl,FALSE,2,Havo,2,Middelbare school,Biologie
792,nl,FALSE,2,Vmbo,3,Middelbare school,Biologie
792,nl,FALSE,2,Vwo,1,Middelbare school,Engels
792,nl,FALSE,2,Havo,2,Middelbare school,Engels
792,nl,FALSE,2,Vmbo,2,Middelbare school,Engels
792,nl,FALSE,2,Havo,3,Middelbare school,Engels
792,nl,FALSE,2,Vmbo,1,Middelbare school,Engels
792,nl,FALSE,2,Vwo,4,Middelbare school,Engels
792,nl,FALSE,2,Vwo,5,Middelbare school,Engels
792,nl,FALSE,2,Vwo,2,Middelbare school,Engels
792,nl,FALSE,2,Vmbo,3,Middelbare school,Engels
792,nl,FALSE,2,Vmbo,4,Middelbare school,Engels
792,nl,FALSE,2,Groep 1 t/m 8,,Basisschool,Engels
792,nl,FALSE,2,Vwo,6,Middelbare school,Engels
792,nl,FALSE,2,Havo,5,Middelbare school,Engels
792,nl,FALSE,2,Havo,4,Middelbare school,Engels
792,nl,FALSE,2,Havo,1,Middelbare school,Engels
792,nl,FALSE,2,Vwo,3,Middelbare school,Engels
792,nl,FALSE,2,Vwo,4,Middelbare school,Geschiedenis
792,nl,FALSE,2,Vmbo,4,Middelbare school,Geschiedenis
792,nl,FALSE,2,Vwo,3,Middelbare school,Geschiedenis
792,nl,FALSE,2,Havo,3,Middelbare school,Geschiedenis
792,nl,FALSE,2,Vwo,2,Middelbare school,Geschiedenis
792,nl,FALSE,2,Havo,1,Middelbare school,Geschiedenis
792,nl,FALSE,2,Vmbo,3,Middelbare school,Geschiedenis
792,nl,FALSE,2,Vwo,1,Middelbare school,Geschiedenis
792,nl,FALSE,2,Vmbo,2,Middelbare school,Geschiedenis
792,nl,FALSE,2,Vmbo,1,Middelbare school,Geschiedenis
792,nl,FALSE,2,Havo,2,Middelbare school,Geschiedenis
792,nl,FALSE,2,Havo,5,Middelbare school,Geschiedenis
792,nl,FALSE,2,Havo,4,Middelbare school,Geschiedenis
792,nl,FALSE,2,Vwo,6,Middelbare school,Geschiedenis
792,nl,FALSE,2,Vwo,5,Middelbare school,Geschiedenis
792,nl,FALSE,2,Vwo,1,Middelbare school,Latijn
792,nl,FALSE,2,Vmbo,4,Middelbare school,Latijn
792,nl,FALSE,2,Havo,4,Middelbare school,Latijn
792,nl,FALSE,2,Vwo,5,Middelbare school,Latijn
792,nl,FALSE,2,Havo,5,Middelbare school,Latijn
792,nl,FALSE,2,Vwo,6,Middelbare school,Latijn
792,nl,FALSE,2,Havo,3,Middelbare school,Latijn
792,nl,FALSE,2,Vmbo,1,Middelbare school,Latijn
792,nl,FALSE,2,Havo,2,Middelbare school,Latijn
792,nl,FALSE,2,Vmbo,2,Middelbare school,Latijn
792,nl,FALSE,2,Vwo,4,Middelbare school,Latijn
792,nl,FALSE,2,Vmbo,3,Middelbare school,Latijn
792,nl,FALSE,2,Vwo,3,Middelbare school,Latijn
792,nl,FALSE,2,Havo,1,Middelbare school,Latijn
792,nl,FALSE,2,Vwo,2,Middelbare school,Latijn
792,nl,FALSE,2,Vwo,2,Middelbare school,Nederlands
792,nl,FALSE,2,Vwo,6,Middelbare school,Nederlands
792,nl,FALSE,2,Havo,1,Middelbare school,Nederlands
792,nl,FALSE,2,Havo,3,Middelbare school,Nederlands
792,nl,FALSE,2,Vmbo,1,Middelbare school,Nederlands
792,nl,FALSE,2,Vmbo,3,Middelbare school,Nederlands
792,nl,FALSE,2,Vmbo,4,Middelbare school,Nederlands
792,nl,FALSE,2,Vwo,1,Middelbare school,Nederlands
792,nl,FALSE,2,Vwo,3,Middelbare school,Nederlands
792,nl,FALSE,2,Vwo,4,Middelbare school,Nederlands
792,nl,FALSE,2,Vmbo,2,Middelbare school,Nederlands
792,nl,FALSE,2,Havo,2,Middelbare school,Nederlands
792,nl,FALSE,2,Groep 1 t/m 8,,Basisschool,Nederlands
792,nl,FALSE,2,Havo,5,Middelbare school,Nederlands
792,nl,FALSE,2,Vwo,5,Middelbare school,Nederlands
792,nl,FALSE,2,Havo,4,Middelbare school,Nederlands
824,nl,TRUE,2,Vmbo,3,Middelbare school,Engels
824,nl,TRUE,2,Vwo,6,Middelbare school,Engels
824,nl,TRUE,2,Vmbo,1,Middelbare school,Engels
824,nl,TRUE,2,Havo,2,Middelbare school,Engels
824,nl,TRUE,2,Vwo,1,Middelbare school,Engels
824,nl,TRUE,2,Vwo,3,Middelbare school,Engels
824,nl,TRUE,2,Vmbo,4,Middelbare school,Engels
824,nl,TRUE,2,Havo,3,Middelbare school,Engels
824,nl,TRUE,2,Groep 1 t/m 8,,Basisschool,Engels
824,nl,TRUE,2,Havo,1,Middelbare school,Engels
824,nl,TRUE,2,Havo,4,Middelbare school,Engels
824,nl,TRUE,2,Havo,5,Middelbare school,Engels
824,nl,TRUE,2,Vwo,5,Middelbare school,Engels
824,nl,TRUE,2,Vwo,4,Middelbare school,Engels
824,nl,TRUE,2,Vwo,2,Middelbare school,Engels
824,nl,TRUE,2,Vmbo,2,Middelbare school,Engels
824,nl,TRUE,2,Havo,1,Middelbare school,Maatschappijleer
824,nl,TRUE,2,Vmbo,2,Middelbare school,Maatschappijleer
824,nl,TRUE,2,Vwo,3,Middelbare school,Maatschappijleer
824,nl,TRUE,2,Vwo,2,Middelbare school,Maatschappijleer
824,nl,TRUE,2,Havo,3,Middelbare school,Maatschappijleer
824,nl,TRUE,2,Vmbo,1,Middelbare school,Maatschappijleer
824,nl,TRUE,2,Havo,2,Middelbare school,Maatschappijleer
824,nl,TRUE,2,Vwo,1,Middelbare school,Maatschappijleer
824,nl,TRUE,2,Groep 1 t/m 8,,Basisschool,Maatschappijleer
824,nl,TRUE,2,Vmbo,4,Middelbare school,Maatschappijleer
824,nl,TRUE,2,Vmbo,3,Middelbare school,Maatschappijleer
824,nl,TRUE,2,Vmbo,1,Middelbare school,Nask
824,nl,TRUE,2,Vmbo,4,Middelbare school,Nask
824,nl,TRUE,2,Vmbo,2,Middelbare school,Nask
824,nl,TRUE,2,Vmbo,3,Middelbare school,Nask
824,nl,TRUE,2,Vmbo,4,Middelbare school,Natuurkunde
824,nl,TRUE,2,Vmbo,1,Middelbare school,Natuurkunde
824,nl,TRUE,2,Vmbo,2,Middelbare school,Natuurkunde
824,nl,TRUE,2,Vmbo,3,Middelbare school,Natuurkunde
824,nl,TRUE,2,Vmbo,1,Middelbare school,Nederlands
824,nl,TRUE,2,Groep 1 t/m 8,,Basisschool,Nederlands
824,nl,TRUE,2,Vmbo,3,Middelbare school,Nederlands
824,nl,TRUE,2,Vmbo,2,Middelbare school,Nederlands
824,nl,TRUE,2,Vmbo,4,Middelbare school,Nederlands
824,nl,TRUE,2,Vmbo,4,Middelbare school,Wiskunde onderbouw
824,nl,TRUE,2,Vmbo,3,Middelbare school,Wiskunde onderbouw
824,nl,TRUE,2,Vmbo,2,Middelbare school,Wiskunde onderbouw
824,nl,TRUE,2,Vmbo,1,Middelbare school,Wiskunde onderbouw
829,nl,TRUE,3,Vmbo,4,Middelbare school,Engels
829,nl,TRUE,3,Vwo,3,Middelbare school,Engels
829,nl,TRUE,3,Vmbo,1,Middelbare school,Engels
829,nl,TRUE,3,Havo,4,Middelbare school,Engels
829,nl,TRUE,3,Vmbo,2,Middelbare school,Engels
829,nl,TRUE,3,Havo,3,Middelbare school,Engels
829,nl,TRUE,3,Vwo,1,Middelbare school,Engels
829,nl,TRUE,3,Vmbo,3,Middelbare school,Engels
829,nl,TRUE,3,Havo,5,Middelbare school,Engels
829,nl,TRUE,3,Groep 1 t/m 8,,Basisschool,Engels
829,nl,TRUE,3,Vwo,2,Middelbare school,Engels
829,nl,TRUE,3,Havo,2,Middelbare school,Engels
829,nl,TRUE,3,Havo,1,Middelbare school,Engels
829,nl,TRUE,3,Vwo,4,Middelbare school,Engels
829,nl,TRUE,3,Vwo,5,Middelbare school,Engels
829,nl,TRUE,3,Vwo,6,Middelbare school,Engels
855,nl,TRUE,2,Vwo,5,Middelbare school,Engels
855,nl,TRUE,2,Havo,4,Middelbare school,Engels
855,nl,TRUE,2,Vwo,6,Middelbare school,Engels
855,nl,TRUE,2,Vwo,4,Middelbare school,Engels
855,nl,TRUE,2,Havo,3,Middelbare school,Engels
855,nl,TRUE,2,Havo,2,Middelbare school,Engels
855,nl,TRUE,2,Vwo,2,Middelbare school,Engels
855,nl,TRUE,2,Havo,5,Middelbare school,Engels
855,nl,TRUE,2,Vwo,1,Middelbare school,Engels
855,nl,TRUE,2,Vmbo,3,Middelbare school,Engels
855,nl,TRUE,2,Vwo,3,Middelbare school,Engels
855,nl,TRUE,2,Vmbo,2,Middelbare school,Engels
855,nl,TRUE,2,Havo,1,Middelbare school,Engels
855,nl,TRUE,2,Vmbo,1,Middelbare school,Engels
855,nl,TRUE,2,Vmbo,4,Middelbare school,Engels
855,nl,TRUE,2,Vmbo,2,Middelbare school,Nask
855,nl,TRUE,2,Havo,2,Middelbare school,Nask
855,nl,TRUE,2,Vwo,2,Middelbare school,Nask
855,nl,TRUE,2,Vmbo,3,Middelbare school,Nask
855,nl,TRUE,2,Vwo,1,Middelbare school,Nask
855,nl,TRUE,2,Vwo,3,Middelbare school,Nask
855,nl,TRUE,2,Havo,3,Middelbare school,Nask
855,nl,TRUE,2,Havo,1,Middelbare school,Nask
855,nl,TRUE,2,Vmbo,4,Middelbare school,Nask
855,nl,TRUE,2,Vmbo,1,Middelbare school,Nask
855,nl,TRUE,2,Groep 1 t/m 8,,Basisschool,Rekenen
855,nl,TRUE,2,Havo,1,Middelbare school,Rekenen
855,nl,TRUE,2,Vwo,6,Middelbare school,Rekenen
855,nl,TRUE,2,Havo,3,Middelbare school,Rekenen
855,nl,TRUE,2,Havo,4,Middelbare school,Rekenen
855,nl,TRUE,2,Havo,5,Middelbare school,Rekenen
855,nl,TRUE,2,Vwo,5,Middelbare school,Rekenen
855,nl,TRUE,2,Vmbo,3,Middelbare school,Rekenen
855,nl,TRUE,2,Vwo,4,Middelbare school,Rekenen
855,nl,TRUE,2,Vmbo,4,Middelbare school,Rekenen
855,nl,TRUE,2,Vwo,2,Middelbare school,Rekenen
855,nl,TRUE,2,Havo,2,Middelbare school,Rekenen
855,nl,TRUE,2,Vwo,1,Middelbare school,Rekenen
855,nl,TRUE,2,Vmbo,2,Middelbare school,Rekenen
855,nl,TRUE,2,Vmbo,1,Middelbare school,Rekenen
855,nl,TRUE,2,Vwo,3,Middelbare school,Rekenen
855,nl,TRUE,2,Vwo,3,Middelbare school,Wiskunde onderbouw
855,nl,TRUE,2,Vmbo,3,Middelbare school,Wiskunde onderbouw
855,nl,TRUE,2,Vwo,2,Middelbare school,Wiskunde onderbouw
855,nl,TRUE,2,Vmbo,4,Middelbare school,Wiskunde onderbouw
855,nl,TRUE,2,Havo,2,Middelbare school,Wiskunde onderbouw
855,nl,TRUE,2,Vmbo,1,Middelbare school,Wiskunde onderbouw
855,nl,TRUE,2,Havo,1,Middelbare school,Wiskunde onderbouw
855,nl,TRUE,2,Havo,3,Middelbare school,Wiskunde onderbouw
855,nl,TRUE,2,Vmbo,2,Middelbare school,Wiskunde onderbouw
855,nl,TRUE,2,Vwo,1,Middelbare school,Wiskunde onderbouw
857,nl,TRUE,2,Havo,1,Middelbare school,Biologie
857,nl,TRUE,2,Vwo,6,Middelbare school,Biologie
857,nl,TRUE,2,Vwo,1,Middelbare school,Biologie
857,nl,TRUE,2,Vwo,5,Middelbare school,Biologie
857,nl,TRUE,2,Vwo,3,Middelbare school,Biologie
857,nl,TRUE,2,Vwo,4,Middelbare school,Biologie
857,nl,TRUE,2,Vmbo,4,Middelbare school,Biologie
857,nl,TRUE,2,Havo,3,Middelbare school,Biologie
857,nl,TRUE,2,Vwo,2,Middelbare school,Biologie
857,nl,TRUE,2,Vmbo,3,Middelbare school,Biologie
857,nl,TRUE,2,Havo,4,Middelbare school,Biologie
857,nl,TRUE,2,Havo,2,Middelbare school,Biologie
857,nl,TRUE,2,Havo,5,Middelbare school,Biologie
857,nl,TRUE,2,Vmbo,2,Middelbare school,Biologie
857,nl,TRUE,2,Vmbo,1,Middelbare school,Biologie
857,nl,TRUE,2,Havo,2,Middelbare school,Engels
857,nl,TRUE,2,Vwo,1,Middelbare school,Engels
857,nl,TRUE,2,Havo,3,Middelbare school,Engels
857,nl,TRUE,2,Vmbo,4,Middelbare school,Engels
857,nl,TRUE,2,Vwo,6,Middelbare school,Engels
857,nl,TRUE,2,Vwo,2,Middelbare school,Engels
857,nl,TRUE,2,Vmbo,3,Middelbare school,Engels
857,nl,TRUE,2,Vwo,3,Middelbare school,Engels
857,nl,TRUE,2,Vmbo,1,Middelbare school,Engels
857,nl,TRUE,2,Havo,5,Middelbare school,Engels
857,nl,TRUE,2,Vmbo,2,Middelbare school,Engels
857,nl,TRUE,2,Havo,4,Middelbare school,Engels
857,nl,TRUE,2,Havo,1,Middelbare school,Engels
857,nl,TRUE,2,Vwo,5,Middelbare school,Engels
857,nl,TRUE,2,Vwo,4,Middelbare school,Engels
857,nl,TRUE,2,Vmbo,1,Middelbare school,Nask
857,nl,TRUE,2,Havo,2,Middelbare school,Nask
857,nl,TRUE,2,Vmbo,2,Middelbare school,Nask
857,nl,TRUE,2,Havo,1,Middelbare school,Nask
857,nl,TRUE,2,Vwo,3,Middelbare school,Nask
857,nl,TRUE,2,Vmbo,4,Middelbare school,Nask
857,nl,TRUE,2,Vwo,1,Middelbare school,Nask
857,nl,TRUE,2,Vmbo,3,Middelbare school,Nask
857,nl,TRUE,2,Havo,3,Middelbare school,Nask
857,nl,TRUE,2,Vwo,2,Middelbare school,Nask
857,nl,TRUE,2,Havo,1,Middelbare school,Scheikunde
857,nl,TRUE,2,Vmbo,3,Middelbare school,Scheikunde
857,nl,TRUE,2,Vwo,1,Middelbare school,Scheikunde
857,nl,TRUE,2,Vmbo,4,Middelbare school,Scheikunde
857,nl,TRUE,2,Vmbo,1,Middelbare school,Scheikunde
857,nl,TRUE,2,Vwo,2,Middelbare school,Scheikunde
857,nl,TRUE,2,Havo,2,Middelbare school,Scheikunde
857,nl,TRUE,2,Vwo,3,Middelbare school,Scheikunde
857,nl,TRUE,2,Vmbo,2,Middelbare school,Scheikunde
857,nl,TRUE,2,Havo,3,Middelbare school,Scheikunde
857,nl,TRUE,2,Havo,4,Middelbare school,Wiskunde A/C
857,nl,TRUE,2,Havo,5,Middelbare school,Wiskunde A/C
857,nl,TRUE,2,Vwo,4,Middelbare school,Wiskunde A/C
857,nl,TRUE,2,Vwo,5,Middelbare school,Wiskunde A/C
857,nl,TRUE,2,Vwo,6,Middelbare school,Wiskunde A/C
857,nl,TRUE,2,Vmbo,2,Middelbare school,Wiskunde onderbouw
857,nl,TRUE,2,Vmbo,4,Middelbare school,Wiskunde onderbouw
857,nl,TRUE,2,Havo,3,Middelbare school,Wiskunde onderbouw
857,nl,TRUE,2,Vmbo,1,Middelbare school,Wiskunde onderbouw
857,nl,TRUE,2,Havo,2,Middelbare school,Wiskunde onderbouw
857,nl,TRUE,2,Havo,1,Middelbare school,Wiskunde onderbouw
